dataset,q,prevalence,arm,calibration_size,fdr_mean,fdr_ci95,power_mean,power_ci95,draws_over_q,seeds_over_q
ciciomt2024,0.1,0.001,BY,12000,0.0,0.0,0.0,0.0,0.0,0.0
ciciomt2024,0.1,0.001,e-BH,12000,0.6371093676219534,0.38737025800112107,0.000414119236773699,0.00079691952854741,0.76,1.0
ciciomt2024,0.2,0.01,marginal BH,12000,0.9364087995706424,0.06041543781580783,0.6945381487297407,0.5286149309561119,1.0,1.0
ciciomt2024,0.2,0.01,PACT conditional L=1,12000,0.9393912583764639,0.06469226676454186,0.6105195666924225,0.5210433593540461,1.0,1.0
ciciomt2024,0.2,0.01,PACT conditional L=5,12000,0.9444856784144916,0.06153193414923643,0.5258849646608328,0.49289451709601384,1.0,1.0
ciciomt2024,0.2,0.01,PACT conditional L=100 (shipped),12000,0.9551319741958297,0.050114816706050974,0.3854851869102289,0.4712979636963333,1.0,1.0
ciciomt2024,0.2,0.01,Storey-BH,12000,0.9421639013336834,0.04340834110664601,0.7931531672146435,0.5309707145577327,1.0,1.0
ciciomt2024,0.2,0.01,BY,12000,0.005714285714285715,0.010934472767871063,5.10204081632653e-06,1.4165536251009175e-05,0.0,0.0
ciciomt2024,0.2,0.01,e-BH,12000,0.9389199555029666,0.11453998433334969,0.000828526263450082,0.001698493647513584,1.0,1.0
ciciomt2024,0.2,0.001,marginal BH,12000,0.9931435936665884,0.007231817273939457,0.6518916965065911,0.5067902320822634,1.0,1.0
ciciomt2024,0.2,0.001,PACT conditional L=1,12000,0.9943393440122756,0.005767773120072622,0.517599356642903,0.46260468806528726,1.0,1.0
ciciomt2024,0.2,0.001,PACT conditional L=5,12000,0.9955258766361135,0.004344121209413073,0.4164670716525283,0.4603279186919805,1.0,1.0
ciciomt2024,0.2,0.001,PACT conditional L=100 (shipped),12000,0.9968151578176485,0.003915484470344894,0.30535973959218604,0.4935832879708775,1.0,1.0
ciciomt2024,0.2,0.001,Storey-BH,12000,0.9933935099791883,0.00559059659464442,0.7830436152180014,0.5244714757755109,1.0,1.0
ciciomt2024,0.2,0.001,BY,12000,0.0,0.0,0.0,0.0,0.0,0.0
ciciomt2024,0.2,0.001,e-BH,12000,0.9621587948079624,0.09870947326649471,0.000892956527641065,0.0016954021255243012,1.0,1.0
